export,import 1,import 2,import 3
Laboratory Reagents,Chemically Pure Sugars,Rubber Footwear,Newsprint
Large Coated Flat-Rolled Iron,Metalworking Machines,Metalworking Transfer Machines,Flat Flat-Rolled Steel
Large Construction Vehicles,Excavation Machinery,Packing Bags,Carboxylic Acids
Large Flat-Rolled Iron,Interchangeable Tool Parts,Flat Flat-Rolled Steel,Casting Machines
Large Flat-Rolled Stainless Steel,Broadcasting Accessories,Ferroalloys,Electrical Resistors
Large Iron Containers,Other Engines,Other Small Iron Pipes,Other Iron Products
Lead Ore,Flavored Water,Cucumbers,Zinc Ore
Leather Apparel,Artificial Filament Yarn Woven Fabric,Leather further prepared after tanning or crusting of sheep or lamb,Tanned Equine and Bovine Hides
Leather Footwear,Tanned Equine and Bovine Hides,Leather of Other Animals,Leather further prepared after tanning or crusting of animals (other than ovine)
Leather Machinery,LCDs,Tanned Equine and Bovine Hides,Other Edible Animal Products
Legumes,Saddlery,Vegetable Plaiting Materials,Other Vegetables
Lifting Machinery,Felt or Coated Fabric Garments,Other Iron Bars,Other Cloth Articles
Light Fixtures,Electrical Resistors,Copper Ore,Iron Ore
Light Mixed Woven Cotton,Manganese Ore,Ethylene Polymers,Equine and Bovine Hides
Light Pure Woven Cotton,Non-Retail Pure Cotton Yarn,Semi chemical Woodpulp,Equine and Bovine Hides
Light Synthetic Cotton Fabrics,Photographic Paper,Soybeans,Ground Nut Meal
Lighters,Copper Pipes,Electrical Resistors,Copper Bars
Linseed,Lifting Machinery,Iron Radiators,Stone Processing Machines
Liquid Dispersing Machines,Newsprint,Yeast,Monofilament
Liquid Fuel Furnaces,Raw Zinc,Other Iron Bars,Hydrochloric Acid
Liquid Pumps,Other Plastic Products,Wood Kitchenware,Other Iron Products
Locomotive Parts,Industrial Food Preperation Machinery,Industrial Furnaces,Other Cast Iron Products
"Locust beans, seaweed, sugar beet, cane, for food",Chemical Analysis Instruments,Soldering and Welding Machinery,Thermostats
Low-voltage Protection Equipment,Polyacetals,Signaling Glassware,Microphones and Headphones
Lubricating Products,Hair Trimmers,Other Esters,Knit Sweaters
Machinery Having Individual Functions,Carbides,Precious Metal Scraps,Boiler Plants
"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.",Dolomite,Other Sugars,Boiler Plants
Magnesium,Metalworking Transfer Machines,Other Measuring Instruments,Metalworking Machines
Magnesium Carbonate,Tulles and Net Fabric,Carbonates,Delivery Trucks
Malt,Iron Radiators,Plastic Pipes,Prefabricated Buildings
Malt Extract,Scales,Tractors,Monofilament
Maps,Soups and Broths,Railway Passenger Cars,Knit Men's Undergarments
Margarine,Industrial Food Preperation Machinery,Liquid Dispersing Machines,Lifting Machinery
Matches,Non-Retail Artificial Staple Fibers Sewing Thread,Non-Retail Artificial Filament Yarn,Soldering and Welding Machinery
Mattresses,Knitting Machine Accessories,Phenols,Looms
Medical Furniture,Baby Carriages,Laboratory Reagents,Pharmaceutical Animal Products
Medical Instruments,Plastic Housewares,"Vaccines, blood, antisera, toxins and cultures",Portable Lighting
Melons,Vegetable Plaiting Materials,Wood Stakes,Peat
Metal Finishing Machines,Metalworking Machine Parts,Copper Plating,Carbides
Metal Insulating Fittings,Amine Compounds,Vegetable Tanning Extracts,Carboxyamide Compounds
Metal Lathes,Halides,Signaling Glassware,Metalworking Machine Parts
Metal Molds,Insulated Wire,Spark-Ignition Engines,Stranded Copper Wire
Metal Mountings,Zinc Ore,Electrical Resistors,Cast or Rolled Glass
Metal Office Supplies,Cast or Rolled Glass,Non-Retail Animal Hair Yarn,Copper Powder
Metal Pickling Preparations,Non-Knit Men's Undergarments,Other Cloth Articles,Lighters
Metal Signs,Electrical Control Boards,Medical Instruments,Knit Sweaters
Metal Stoppers,Coated Flat-Rolled Iron,Small Iron Containers,Combustion Engines
Metalworking Machine Parts,Electric Motor Parts,Bi-Wheel Vehicle Parts,Aluminium Plating
Metalworking Machines,Other Cloth Articles,Iron Housewares,Carbides
Mica,Precipitated Copper,Combed Wool or Animal Hair Fabric,"Industrial Fatty Acids, Oils and Alcohols"
Micro-Organism Culture Preparations,Knit Sweaters,Bells and Other Metal Ornaments,Portable Lighting
Microphones and Headphones,Precious Stones,Other Electrical Machinery,Other Ores
Microscopes,Tungsten,Walking Sticks,Boat Propellers
Milk,Washing and Bottling Machines,Industrial Food Preperation Machinery,Wood Crates
Mill Machinery,Stone Working Machines,Brooms,Looms
Milling Stones,Combed Wool or Animal Hair Fabric,Silk Waste,Microphones and Headphones
Mirrors and Lenses,Optical Fibers and optical fibre bundles,Watch Cases and Parts,Silver Clad Metals
Mixed Mineral or Chemical Fertilizers,"Other live plants, cuttings and slips;
mushroom spawn",Stone Working Machines,Aluminium Bars
Molluscs,Twine and Rope,Netting,Other Floating Structures
Monofilament,Other Coloring Matter,Saddlery,Metal Mountings
"Monopods, bipods, tripods and similar articles",X-Ray Equipment,Other Measuring Instruments,Cast or Rolled Glass
Motor vehicles; parts and accessories (8701 to 8705),Metalworking Machine Parts,Large Flat-Rolled Iron,Magnesium
Motor-working Tools,Nickel Ore,Copper Foil,Felt Machinery
Motorcycles and cycles,Audio and Video Recording Accessories,Electric Batteries,Air Conditioners
Narrow Woven Fabric,Rubber Thread,Ethylene Polymers,Artificial Filament Yarn Woven Fabric
Natural Polymers,Chemical Analysis Instruments,Laboratory Reagents,Unmanned aircraft
Navigation Equipment,Chemical Analysis Instruments,Medical Instruments,Other Cloth Articles
Neck Ties,Non-Knit Men's Coats,Non-Knit Women's Suits,Knit Sweaters
Netting,Looms,Starches,Coal Briquettes
Newspapers,Cement Articles,Uncoated Paper,Brochures
Nickel Bars,Felt,Copper Housewares,Chemical Analysis Instruments
Nitrites and Nitrates,Ethylene Polymers,Glass Working Machines,Non-Knit Women's Undergarments
Nitrogen Heterocyclic Compounds,Ethylene Polymers,Polycarboxylic Acids,Amine Compounds
Nitrogenous Fertilizers,Refractory Bricks,Other Heating Machinery,Industrial Furnaces
Non-Knit Active Wear,Iron Ore,Equine and Bovine Hides,Labels
Non-Knit Babies' Garments,Knit Babies' Garments,Prepared Paint Driers,Labels
Non-Knit Gloves,Semi chemical Woodpulp,Starches,Soybeans
Non-Knit Men's Coats,Equine and Bovine Hides,Labels,Iron Ore
Non-Knit Men's Suits,Tulles and Net Fabric,Artificial Filament Yarn Woven Fabric,Non-Knit Men's Coats
Non-Knit Men's Undergarments,Other Measuring Instruments,Felt Machinery,Unprocessed Artificial Staple Fibers
Non-Knit Women's Coats,Iron Ore,Equine and Bovine Hides,Labels
Non-Knit Women's Shirts,Non-Knit Women's Coats,Knit T-shirts,Knit Sweaters
Non-Knit Women's Suits,Labels,Tulles and Net Fabric,Knit Sweaters
Non-Knit Women's Undergarments,Labels,Semi chemical Woodpulp,Looms
Non-Mechanical Removal Machinery,Signaling Glassware,Halides,Other Cotton Fabrics
Non-Retail Artificial Staple Fibers Sewing Thread,Jute Yarn,Glass Balls,Textile Fiber Machinery
Non-Retail Pure Cotton Yarn,Hemp Fibers,Pens,Textile Fiber Machinery
Non-Retail Synthetic Filament Yarn,Polycarboxylic Acids,Unprocessed Synthetic Staple Fibers,Knitting Machine Accessories
Non-fillet Frozen Fish,Twine and Rope,Netting,Iron Structures
Non-woven Textiles,Polycarboxylic Acids,Other Zinc Products,Unprocessed Artificial Staple Fibers
Nonaqueous Paints,Petroleum Resins,Textile Scraps,Metalworking Machine Parts
Nonaqueous Pigments,Aluminium Powder,Natural Polymers,Tool Plates
Nucleic Acids,Hydrochloric Acid,Chemical Analysis Instruments,Uncoated Paper
Oats,Liquid Dispersing Machines,Water and Gas Generators,Iron Structures
Office Machine Parts,Other Measuring Instruments,Disc Chemicals for Electronics,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays"
Onions,Sowing Seeds,Vegetable Plaiting Materials,Animal or Vegetable Fertilizers
Opto-Electric Instrument Parts,Rubber Stamps,Other Plastic Products,Medical Instruments
Organic Composite Solvents,Washing and Bottling Machines,Nonaqueous Paints,Industrial Food Preperation Machinery
Organo-Sulfur Compounds,Other inorganic compounds,Phenols,Nickel Powder
Ornamental Ceramics,Electrical Resistors,Other Edible Animal Products,Copper Ore
Ornamental Trimmings,Jute Yarn,Ethylene Polymers,Artificial Textile Machinery
Orthopedic Appliances,Medical Instruments,Portable Lighting,Image Projectors
Oscilloscopes,Wood Carpentry,Blown Glass,Glass Bulbs
Other Agricultural Machinery,Other Small Iron Pipes,Plastic Pipes,Iron Wire
Other Aluminium Products,Prepared Rubber Accelerators,Iron Sewing Needles,Electrical Ignitions
Other Animals,Potatoes,Paper Containers,Animal Food
Other Articles of Twine and Rope,Looms,Equine and Bovine Hides,Semi-Finished Iron
Other Carpets,Wool,Copper Foil,Semi chemical Woodpulp
Other Cast Iron Products,Other Iron Products,Raw Plastic Sheeting,Other Aluminium Products
Other Ceramic Articles,Iron Ore,LCDs,Electrical Resistors
Other Clocks,Iron Ore,Sulfate Chemical Woodpulp,Electrical Resistors
Other Cloth Articles,Iron Ore,Copper Foil,Photo Lab Equipment
Other Coloring Matter,Titanium Ore,Raw Copper,Reclaimed Rubber
Other Construction Vehicles,Chemical Analysis Instruments,Metalworking Machines,Microscopes
Other Copper Products,Other Plastic Products,Brooms,Nickel Sheets
Other Cotton Fabrics,Recovered Paper Pulp,Heavy Pure Woven Cotton,Copper Foil
Other Cutlery,Tanned Equine and Bovine Hides,Leather further prepared after tanning or crusting of animals (other than ovine),Leather further prepared after tanning or crusting of sheep or lamb
Other Domestic Electric Housewares,Lignite,Bird Feathers and Skins,Recovered Paper Pulp
Other Edible Animal Products,Jute Yarn,Sulphur,Cassava
Other Edible Preparations,Iron Toiletry,Plastic Lids,Paper Containers
Other Electrical Machinery,Neck Ties,Chemical Analysis Instruments,Watch Cases and Parts
Other Engines,Electric Motor Parts,Special purpose motor vehicles,Safety Glass
Other Esters,Phenols,Epoxides,Other Organic Compounds
Other Footwear,Labels,Leather further prepared after tanning or crusting of sheep or lamb,Jute Yarn
Other Fruits,"Other live plants, cuttings and slips;
mushroom spawn",Sowing Seeds,Wood Stakes
Other Furniture,Metal Finishing Machines,Plastic Coated Textile Fabric,Non-Retail Pure Cotton Yarn
Other Glass Articles,Vacuum Flask,Umbrellas,Video Displays
Other Hand Tools,Other Ceramic Articles,Scrap Vessels,Malt Extract
Other Headwear,Non-Retail Animal Hair Yarn,Copper Foil,Rubber Thread
Other Heating Machinery,Raw Plastic Sheeting,Nickel Bars,Other Stainless Steel Bars
Other Inedible Animal Products,Other Agricultural Machinery,Liquid Dispersing Machines,Harvesting Machinery
Other Inorganic Acids,Aluminium Housewares,"Non-Iron and Steel Slag, Ash and Residues",Rare-Earth Metal Compounds
Other Inorganic Acids Salts,Microscopes,Other Measuring Instruments,Chemical Analysis Instruments
Other Iron Bars,Other Iron Products,Other Cast Iron Products,Clays
Other Iron Products,Other Plastic Products,Equine and Bovine Hides,Electric Motor Parts
Other Knit Clothing Accessories,Microscopes,Other Measuring Instruments,Flax Fibers
Other Knit Garments,Labels,Glass Working Machines,Knit T-shirts
Other Large Iron Pipes,Coated Metal Soldering Products,Metalworking Machines,Casting Machines
Other Leather Articles,Equine and Bovine Hides,Epoxides,Tanned Equine and Bovine Hides
Other Measuring Instruments,Signaling Glassware,"Awnings, Tents, and Sails",Electric Musical Instruments
Other Metal Fasteners,Leather further prepared after tanning or crusting of animals (other than ovine),Precious Stones,Tulles and Net Fabric
Other Mineral,Electrical Insulators,Light Fixtures,Machinery Having Individual Functions
Other Musical Instruments,Precious Stones,Gold,Microscopes
Other Nickel Products,Gas Turbines,Other Engines,Other Articles of Twine and Rope
Other Non-Knit Clothing Accessories,Labels,Knit T-shirts,Raw Sugar
Other Non-Metal Removal Machinery,Nickel Sheets,Halides,Other inorganic compounds
Other Nuts,Animal or Vegetable Fertilizers,Ceramic Tableware,Imitation Jewellery
Other Office Machines,Audio and Video Recording Accessories,Photographic Paper,Non-Retail Animal Hair Yarn
Other Oily Seeds,Harvesting Machinery,Washing and Bottling Machines,Lifting Machinery
Other Organic Compounds,Electric Batteries,Hair Trimmers,Copper Housewares
Other Organo-Inorganic Compounds,Optical Fibers and optical fibre bundles,Oscilloscopes,Electric Furnaces
Other Paper Machinery,Other Vegetable Fibers Fabric,Vegetable Tanning Extracts,Sugar Preserved Foods
Other Plastic Products,Recovered Paper Pulp,Iron Reductions,Manganese Ore
Other Plastic Sheetings,Polycarboxylic Acids,Raw Plastic Sheeting,Other Aluminium Products
Other Prepared Meat,Industrial Food Preperation Machinery,Washing and Bottling Machines,Metal Stoppers
Other Printed Material,Ceramic Tableware,Portable Lighting,Other Furniture
Other Processed Fruits and Nuts,Paper Containers,Plastic Lids,Raw Sugar
Other Processed Vegetables,Buckwheat,Potatoes,Preserved Vegetables
Other Pure Vegetable Oils,Phosphinates (hypophosphites) and phosphonates (phosphites),Sunflower Seeds,Siliceous Fossil Meals
Other Rubber Products,Glass Fibers,Metalworking Machine Parts,Animal Extracts
Other Small Iron Pipes,Flat Flat-Rolled Steel,Ball Bearings,Metal Finishing Machines
Other Stainless Steel Bars,Carbides,Unsaturated Acyclic Monocarboxylic Acids,"Bicycles, delivery tricycles, other cycles"
Other Steel Bars,Casting Machines,Clays,Forging Machines
Other Stone Articles,Other Articles of Twine and Rope,Blown Glass,Boiler Plants
Other Sugars,Sawn Wood,Non-Knit Gloves,Other Inedible Animal Products
Other Synthetic Fabrics,Other Vegetable Fibers Fabric,Non-Retail Artificial Filament Yarn,Ethylene Polymers
Other Uncoated Paper,Papermaking Machines,Raw Plastic Sheeting,Other Agricultural Machinery
Other Vegetable Residues,Iron Blocks,Large Iron Containers,Other Cast Iron Products
Other Vegetables,Melons,Peat,Other Nuts
Other Vinyl Polymers,Carboxylic Acids,Ketones and Quinones,Synthetic Coloring Matter
Other Women's Undergarments,Labels,Tanned Equine and Bovine Hides,Other Edible Animal Products
Other Wood Articles,Petroleum Coke,Metal Finishing Machines,Starches
Other Zinc Products,Aluminium Plating,Float Glass,Other Vegetable Residues
Other knitted or crocheted fabrics.,Artificial Textile Machinery,Semi chemical Woodpulp,Non-Retail Animal Hair Yarn
"Other live plants, cuttings and slips;
mushroom spawn",Animal or Vegetable Fertilizers,Raw Sugar,Buckwheat
Other toys,Iron Ore,Sulfate Chemical Woodpulp,Electrical Resistors
Oxygen Amino Compounds,Chemical Analysis Instruments,Iron Ore,"Industrial Fatty Acids, Oils and Alcohols"
Oxygen Heterocyclic Compounds,Iron Ore,Manganese Ore,"Niobium, Tantalum, Vanadium and Zirconium Ore"
Packaged Medicaments,Brochures,Felt,Acrylic Polymers
Packaged Sewing Sets,"Industrial Fatty Acids, Oils and Alcohols",Iron Oxides and Hydroxides,Glycosides
Packing Bags,Iron Ore,Artificial Textile Machinery,Manganese Ore
Padlocks,Low-voltage Protection Equipment,Electrical Power Accessories,Copper Bars
Paintings,Antiques,Sculptures,Knotted Carpets
Paper Containers,Kraft Paper,Other Paper Machinery,Raw Plastic Sheeting
Paper Labels,Newsprint,Laboratory Glassware,Pearl Products
Paper Notebooks,Jute Yarn,Decals,Metal Insulating Fittings
Paper Pulp Filter Blocks,Kaolin Coated Paper,Other Coloring Matter,Copper Fasteners
Particle Board,Other Agricultural Machinery,Woodworking machines,Other Iron Products
Party Decorations,Iron Ore,Sulfate Chemical Woodpulp,Copper Ore
Pasta,Washing and Bottling Machines,Linseed,Industrial Food Preperation Machinery
Pastes and Waxes,Polyacetals,Styrene Polymers,Telephones
Pencils and Crayons,Nitrile Compounds,Thermostats,Reclaimed Rubber
Pens,Calculators,Lighters,Precious Metal Scraps
Pepper,Spice Seeds,"Nutmeg, mace and cardamons",Jute Yarn
Peptones,Paper Containers,Iron Chains,Other Small Iron Pipes
Perfume Plants,Raw Sugar,Plastic Lids,Stone Working Machines
Perfumes,Knit T-shirts,Other Non-Knit Clothing Accessories,Knit Sweaters
Pesticides,Unsaturated Acyclic Monocarboxylic Acids,Vegetable Saps,Oxygen Heterocyclic Compounds
Petroleum Coke,Reaction and Catalytic Products,Surveying Equipment,Refined Petroleum
Petroleum Jelly,Uncoated Paper,Other Sugars,Petroleum Resins
Petroleum Resins,Other Zinc Products,Graphite,Amine Compounds
Pharmaceutical Rubber Products,"Monopods, bipods, tripods and similar articles",Silver Clad Metals,Computers
Phosphinates (hypophosphites) and phosphonates (phosphites),Titanium Ore,Other Measuring Instruments,Optical Fibers and optical fibre bundles
Phosphoric Esters and Salts,Epoxides,Phenols,Looms
Photographic Chemicals,Carboxylic Acids,Medical Instruments,Fishing and Hunting Equipment
Pickled Foods,Preserved Vegetables,Peat,Potatoes
Pile Fabric,Semi chemical Woodpulp,Nickel Ore,Wool
Pitted Fruits,Phosphoric Acid,Animal or Vegetable Fertilizers,Inedible Fats and Oils
Plaiting Products,Jute Yarn,Soybeans,Starches
Plaster Articles,Rubber Tires,Buses,Iron Stovetops
Plastic Building Materials,Umbrella and Walking Stick Accessories,Sulfites,Cement Articles
Plastic Coated Textile Fabric,Phenols,Recovered Paper Pulp,Starches
Plastic Floor Coverings,Artificial Textile Machinery,Looms,Bird Feathers and Skins
Plastic Housewares,Electrical Resistors,Mica,Leather further prepared after tanning or crusting of animals (other than ovine)
Plastic Lids,Chocolate,Glues,Rubber Sheets
Plastic Pipes,Paper Notebooks,Other Plastic Sheetings,Glass Fibers
Plastic Wash Basins,Iron Toiletry,Scrap Plastic,Other Nuts
Plywood,Woodworking machines,Other Iron Products,Stone Processing Machines
Polishes and Creams,Scented Mixtures,Tufted Carpets,Other Tin Products
Polyacetals,Acyclic Alcohols,Prepared Rubber Accelerators,Saturated Acyclic Monocarboxylic Acids
Polyamide Fabric,Metalworking Transfer Machines,Halogens,Artificial Textile Machinery
Polyamides,Glass Fibers,Polycarboxylic Acids,Silicates
Polycarboxylic Acids,Cyclic Hydrocarbons,Titanium Ore,Semi-Finished Iron
Porcelain Tableware,Iron Ore,Tanned Equine and Bovine Hides,Silk-worm Cocoons
Portable Lighting,Precious Stones,Lignite,Electrical Resistors
Postcards,Nickel Powder,Copper Powder,Semi chemical Woodpulp
Potassic Fertilizers,Coated Metal Soldering Products,Liquid Pumps,Soldering and Welding Machinery
Potatoes,Peat,Sowing Seeds,"Other live plants, cuttings and slips;
mushroom spawn"
Poultry,Eggs,Glass Fibers,Fork-Lifts
Poultry Meat,Unprocessed Synthetic Staple Fibers,Ceramic Tableware,Iron Nails
Prefabricated Buildings,Potatoes,Kraft Paper,Washing and Bottling Machines
Prepared Cereals,Other Plastic Products,Other Aluminium Products,Rubber Pipes
Prepared Rubber Accelerators,Steel Bars,Aluminium Plating,Carbon
Prepr binder for foundry,Other Plastic Products,Iron Structures,Metalworking Machine Parts
Preserved Vegetables,Ethylene Polymers,Other Oily Seeds,Spices
Print Production Machinery,Building Stone,Non-Knit Men's Undergarments,Knit Men's Suits
Printed Circuit Boards,Glass with Edge Workings,Copper Foil,Photo Lab Equipment
Processed Cereals,Other Agricultural Machinery,Soil Preparation Machinery,Mill Machinery
Processed Fish,Tulles and Net Fabric,Fish oil,Other Vegetable Residues
Processed Mica,Other Metals,Glass Balls,Tulles and Net Fabric
Processed Mushrooms,Cassava,Non-optical Microscopes,Chemical Analysis Instruments
Processed Synthetic Staple Fibers,Knit Socks and Hosiery,Processed Artificial Staple Fibers,Dithionites and Sulfoxylates
Processed Tomatoes,Scrap Plastic,Other Plastic Products,Sugar Preserved Foods
Propylene Polymers,Centrifuges,Reaction and Catalytic Products,Rubberworking Machinery
Pulley Systems,Buttons,Nickel Sheets,Quilted Textiles
Pumice,Optical Fibers and optical fibre bundles,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays",Photographic Chemicals
Pure Olive Oil,Wood Crates,Paper Labels,Glass Bottles
Pyrophoric Alloys,Platinum,Lighters,Glass Bricks
Quaternary Ammonium Salts and Hydroxides,Reclaimed Rubber,Rapeseed Oil,Acyclic Alcohols
Quicklime,Safety Glass,Rubber Sheets,Aluminium Pipe Fittings
Quilted Textiles,Portable Lighting,Woven Fabrics,Buttons
Radio Receivers,Electrical Resistors,Audio and Video Recording Accessories,Watch Cases and Parts
Railroad Ties,Plastic Building Materials,Other Zinc Products,Felt or Coated Fabric Garments
Railway Cargo Containers,Nickel Ore,Non-Retail Animal Hair Yarn,Silver Clad Metals
Railway Freight Cars,Dried Fruits,Iron Radiators,Artificial Filament Sewing Thread
Rapeseed,Liquid Pumps,Water and Gas Generators,Liquid Dispersing Machines
Raw Bones,Margarine,Other Steel Bars,Waxes
Raw Cork,Vinegar,Debacked Cork,Other Meat
Raw Cotton,Knit Men's Suits,Audio Alarms,Portable Lighting
Raw Iron Bars,Industrial Furnaces,Other Iron Products,Other Cast Iron Products
Raw Lead,Other Lead Products,Aluminium Gas Containers,Sulfides
Raw Plastic Sheeting,Packing Bags,Ethylene Polymers,Other Plastic Products
Raw Sugar,Other Coloring Matter,Milling Stones,Centrifuges
Razor Blades,Low-voltage Protection Equipment,Wool or Animal Hair Waste,Medical Instruments
Reaction and Catalytic Products,Ketones and Quinones,Refrigerators,Inorganic Salts
Recovered Paper,Mattresses,House Linens,Other Wood Articles
Recreational Boats,Wood Ornaments,Ornamental Ceramics,Other Knit Garments
Refined Petroleum,Electric Generating Sets,Cranes,Iron Pipes
Refractory Bricks,Metalworking Machines,Pitch Coke,Aluminium Oxide
Refractory Cements,Flat Flat-Rolled Steel,Processed Mica,Refractory Ceramics
Refractory Ceramics,Aluminium Powder,Inorganic Salts,Carbides
Refrigerators,Air Pumps,Other Copper Products,Copper Housewares
Retail Artificial Filament Yarn,Wool or Animal Hair Waste,Optical Fibers and optical fibre bundles,Nickel Ore
Revolution Counters,Air Conditioners,Other Plastic Products,Microphones and Headphones
Rice,Other Cloth Articles,Mattresses,Other Plastic Products
Rock Wool,Glass Fibers,Silicates,Non-woven Textiles
Rolling Machines,Other Carpets,Coffee,Sugar Preserved Foods
Root Vegetables,Raw Sugar,Sowing Seeds,Legumes
Rubber Apparel,Raw Cotton,Manganese Ore,Jute and Other Textile Fibers
Rubber Belting,Rubber Pipes,Scales,Other Engines
Rubber Footwear,Tanned Equine and Bovine Hides,Leather further prepared after tanning or crusting of animals (other than ovine),Tulles and Net Fabric
Rubber Inner Tubes,Reclaimed Rubber,Equine and Bovine Hides,Other Mineral
Rubber Pipes,Knit Gloves,Electric Motor Parts,Electrical Ignitions
Rubber Sheets,Combustion Engines,Other Sugars,Petroleum Resins
Rubber Stamps,Gold,Propylene Polymers,Quilted Textiles
Rubber Textile Fabric,Copper Housewares,Zinc Bars,Electrical Control Boards
Rubber Textiles,Photographic Film,Flax Fibers,Mica
Rubber Tires,Synthetic Rubber,Stranded Iron Wire,Compounded Unvulcanised Rubber
Rubberworking Machinery,Knit Gloves,Soap,Non-Knit Active Wear
Saddlery,Optical Fibers and optical fibre bundles,Non-Retail Animal Hair Yarn,Flax Fibers
Safes,Cyclic Hydrocarbons,Ceramic Pipes,Musical Instrument Parts
Safety Glass,Float Glass,Jute and Other Textile Fibers,Glass Working Machines
Salt,Paper Containers,Cleaning Products,Preserved Meat
Sand,Rubber Stamps,Artistry Paints,Metal Office Supplies
Sanitary towels (pads),Non-woven Textiles,Shaped Paper,Boiler Plants
Saturated Acyclic Monocarboxylic Acids,Copper Foil,Electrical Control Boards,Epoxides
Sauces and Seasonings,Safety Glass,Small Iron Containers,Other Non-Metal Removal Machinery
